"contributor","address","agent","amount","date","committee","ward","lat","lon"
"Parcel 214, LLC","2801 Alabama Avenue SE","GYFB INC.",500,2002-05-31,"Re-Elect Jim Graham","Citywide","38.85970205","-76.96772212"
"Ashley House, Inc.","2840 Langston Place SE","C T CORPORATION SYSTEM UNK",500,2008-03-20,"Barry for Ward 8","Citywide","38.85559648","-76.97272606"
"Hope Village, Inc.","2840 Langston Place SE","APROSERVE CORPORATION",500,2008-03-20,"Barry for Ward 8","Citywide","38.85559648","-76.97272606"
"Hope Village, Inc.","2840 Langston Place SE","APROSERVE CORPORATION",500,2011-12-14,"Barry for Ward 8 Re-Election Committee","8","38.85559648","-76.97272606"
"Ashley House, Inc.","2840 Langston Place SE","C T CORPORATION SYSTEM UNK",500,2011-12-14,"Barry for Ward 8 Re-Election Committee","5","38.85559648","-76.97272606"
"Hope Village, Inc.","2840 Langston Place SE","APROSERVE CORPORATION",2000,2008-12-12,"Fenty 2010","3","38.85559648","-76.97272606"
"Ashley House, Inc.","2840 Langston Place SE","C T CORPORATION SYSTEM UNK",2000,2008-12-12,"Fenty 2010","Citywide","38.85559648","-76.97272606"
"DISTRICT HOTEL COMPANY, LP","3 Bethesda Metro Ctr Ste M025","Larry D. SHARP",2000,2010-08-26,"Gray for Mayor","5","39.0058208584776","-77.1024958341315"
"CONFERENCE CENTER ASSOCIATES I, LLC","3 Bethesda Metro Ctr Ste M025",,2000,2010-08-27,"Gray for Mayor","Citywide","39.0058208584776","-77.1024958341315"
"Ian's Hair Studio","300 15th Street SE",,2000,2010-08-10,"Gray for Mayor","Citywide","38.88519669","-76.98347085"
"Ian's Hair Studio Capitol Hill","300 15th Street SE",,2000,2010-08-11,"Gray for Mayor","6","38.88519669","-76.98347085"
"Sang Oh & Co. Inc.","300 A Morse St NE","C T CORPORATION SYSTEM UNK",500,2007-11-29,"Muriel Bowser for Ward 4 2008","5","38.908170476476","-77.000463467699"
"Sam Wang Produce, Inc.","300 A Morse St NE","RESIGNED  RESIGNED",500,2007-11-29,"Muriel Bowser for Ward 4 2008","3","38.908170476476","-77.000463467699"
"Sang Oh & Co. Inc.","300 A Morse St NE",,1000,2011-12-10,"Re-Elect Orange At Large 2012","7","38.908170476476","-77.000463467699"
"S.W. Produce Inc.","300 A Morse St NE",,1000,2011-12-10,"Re-Elect Orange At Large 2012","4","38.908170476476","-77.000463467699"
"Battles Transportation, Inc.","3010 10th Street NE",,500,2008-08-15,"Barry for Ward 8","8","38.92814357","-76.99268213"
"Battles Transportation, Inc.","3010 10th Street NE",,500,2008-08-15,"Barry for Ward 8","Citywide","38.92814357","-76.99268213"
"Centennial Healthcare Properties","303 Perimeter Center N No. 500","CORPORATION SERVICE COMPANY",500,2007-05-03,"Committee to Elect Yvette M. Alexander","Citywide","33.9288653077234","-84.336875518209"
"Coastal Administrative Services","303 Perimeter Center N No. 500","CORPORATION SERVICE COMPANY",500,2007-05-03,"Committee to Elect Yvette M. Alexander","Citywide","33.9288653077234","-84.336875518209"
"Leading Energy Solutions, Inc.","3060 Blaine St No. 3",,500,2011-07-14,"Evans 2012","Citywide","25.733765887331","-80.2365295236028"
"The Moore Corporation","3060 Blaine St No. 3",,500,2011-07-14,"Evans 2012","5","25.733765887331","-80.2365295236028"
"Institutional Dental Care Inc.","3100 20th Street NE",,1000,2010-06-02,"Catania 2010","Citywide","38.92929891","-76.97645599"
"Michael C. Griffiths, D.D.S., P.C.","3100 20th Street NE",,1000,2010-06-02,"Catania 2010","1","38.92929891","-76.97645599"
"B&W Stat Laboratory, Inc.","3104 Georgia Avenue NW",,500,2002-06-05,"Re-Elect Jim Graham","Citywide","38.92930981","-77.02353295"
"B & W Stat Laboratory Inc.","3104 Georgia Avenue NW",,500,2002-06-05,"Re-Elect Jim Graham","Citywide","38.92930981","-77.02353295"
"ABC 730 11th Street, NW, LLC","3106 N Street NW","GYFB INC.",500,2002-05-31,"Re-Elect Jim Graham","Citywide","38.90662757","-77.06158783"
"ABC 730 11th Street, NW, LLC","3106 N Street NW","GYFB INC.",500,2002-05-31,"Re-Elect Jim Graham","7","38.90662757","-77.06158783"
"Forrester Sustainable Initiatives, LLC","3111 Georgia Avenue NW","C T CORPORATION SYSTEM UNK",1500,2010-08-26,"Kwame for Chair","2","38.92940360","-77.02301054"
"Sustainable Power Systems, LLC","3111 Georgia Avenue NW","HSC AGENT SERVICES INC.",1500,2010-08-26,"Kwame for Chair","Citywide","38.92940360","-77.02301054"
"Trirox, LLC","3111 Georgia Avenue NW","C T CORPORATION SYSTEM UNK",1500,2010-08-26,"Kwame for Chair","1","38.92940360","-77.02301054"
"2951 Mills Ave Inc.","3203 Shortridge Ln","JON PETERS",2000,2008-12-12,"Fenty 2010","7","38.9346204445587","-76.7884939675198"
"NE Foote Mews Inc.","3203 Shortridge Ln",,2000,2008-12-12,"Fenty 2010","4","38.9212832503498","-76.7868245476606"
"HFB, LLC DBA Magnolia","3207 N Blvd",,2000,2010-08-09,"Gray for Mayor","Citywide","37.5754769042079","-77.4630839527046"
"FARHAD, LLC t/a Zodiac Restaurant","3207 N Blvd",,2000,2010-08-10,"Gray for Mayor","2","37.5754769042079","-77.4630839527046"
"Farhad, LLC","3207 N Blvd","SUNIL  CHHABRA",500,2010-08-10,"Kelvin Robinson for Ward 6 Council","4","37.5754769042079","-77.4630839527046"
"HFB, LLC DBA Magnolia","3207 N Blvd",,500,2010-08-10,"Kelvin Robinson for Ward 6 Council","4","37.5754769042079","-77.4630839527046"
"Ukranian Development Corporation","3215 Cathedral Avenue NW",,500,2011-10-25,"Evans 2012","5","38.92956450","-77.06425031"
"Capital Community Services, LLC","3215 Cathedral Avenue NW","UNITED PSYCHIATRIC CORPORATION",500,2011-10-25,"Evans 2012","8","38.92956450","-77.06425031"
"United Psychiatric Corporation","3215 Cathedral Avenue NW","MICHAEL V. DATSENKO",500,2011-10-25,"Evans 2012","Citywide","38.92956450","-77.06425031"
"United Psychiatric Corporation","3215 Cathedral Avenue NW","MICHAEL V. DATSENKO",1500,2010-08-16,"Kwame for Chair","5","38.92956450","-77.06425031"
"Capital Behavioral Health, LLC","3215 Cathedral Avenue NW","UNITED PSYCHIATRIC CORPORATION",1500,2010-08-16,"Kwame for Chair","8","38.92956450","-77.06425031"
"Designed Services, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2008-03-20,"Barry for Ward 8","6","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",500,2008-03-20,"Barry for Ward 8","4","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2008-03-20,"Barry for Ward 8","Citywide","38.84302090","-77.00130441"
"District Development Group","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2008-03-20,"Barry for Ward 8","Citywide","38.84302090","-77.00130441"
"CHW Solutions, Inc.","3215 Martin Luther King Jr Avenue SE","PHINAS JONES",500,2008-03-20,"Barry for Ward 8","8","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",500,2011-12-13,"Barry for Ward 8 Re-Election Committee","Citywide","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2011-12-13,"Barry for Ward 8 Re-Election Committee","Citywide","38.84302090","-77.00130441"
"District Development Group","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2011-12-13,"Barry for Ward 8 Re-Election Committee","5","38.84302090","-77.00130441"
"Designed Services, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2011-12-14,"Barry for Ward 8 Re-Election Committee","5","38.84302090","-77.00130441"
"B&B Floor Services LLC","3215 Martin Luther King Jr Avenue SE",,500,2011-12-15,"Barry for Ward 8 Re-Election Committee","Citywide","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2011-11-07,"Bowser 2012","Citywide","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",500,2011-11-07,"Bowser 2012","Citywide","38.84302090","-77.00130441"
"Designed Services, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2008-03-20,"Committee to Re-Elect Yvette Alexander","Citywide","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",500,2008-03-20,"Committee to Re-Elect Yvette Alexander","8","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",500,2008-03-20,"Committee to Re-Elect Yvette Alexander","Citywide","38.84302090","-77.00130441"
"Design Service Inc,","3215 Martin Luther King Jr Avenue SE",,1500,2006-11-07,"Gray for Chair","1","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",1500,2006-11-07,"Gray for Chair","Citywide","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",1000,2007-07-10,"Re-Elect Kwame R. Brown","8","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",1000,2007-07-10,"Re-Elect Kwame R. Brown","Citywide","38.84302090","-77.00130441"
"District Development Group","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",1000,2007-07-10,"Re-Elect Kwame R. Brown","Citywide","38.84302090","-77.00130441"
"P&M Development Corporation","3215 Martin Luther King Jr Avenue SE",,1000,2007-11-08,"Re-Elect Kwame R. Brown","4","38.84302090","-77.00130441"
"3132 MLK Corporation","3215 Martin Luther King Jr Avenue SE","C T CORPORATION SYSTEM UNK",1000,2007-11-08,"Re-Elect Kwame R. Brown","4","38.84302090","-77.00130441"
"Capitol Services Management, Inc.","3215 Martin Luther King Jr Avenue SE","PHINIS JONES",1000,2012-01-31,"Re-Elect Orange At Large 2012","Citywide","38.84302090","-77.00130441"
"Independent Holding Corp.","3215 Martin Luther King Jr Avenue SE","KATRINA L. JONES",1000,2012-01-31,"Re-Elect Orange At Large 2012","Citywide","38.84302090","-77.00130441"
"Clyde's of Gallery Place Inc.","3236 M Street NW",,1000,2006-05-24,"Bolden 2006 DC Council Member at Large","5","38.90486593","-77.06403703"
"Clyde's of Georgetown","3236 M Street NW",,1000,2006-05-24,"Bolden 2006 DC Council Member at Large","2","38.90486593","-77.06403703"
"Clyde's of Georgetown","3236 M Street NW",,1500,2002-03-26,"Citizens To Reelect Linda Cropp, Chair","5","38.90486593","-77.06403703"
"Clyde, Inc.","3236 M Street NW",,1500,2002-03-26,"Citizens To Reelect Linda Cropp, Chair","5","38.90486593","-77.06403703"
"Clyde's of Georgetown","3236 M Street NW",,500,2011-08-12,"Evans 2012","Citywide","38.90486593","-77.06403703"
"Clyde, Inc.","3236 M Street NW",,500,2011-08-12,"Evans 2012","Citywide","38.90486593","-77.06403703"
"Clyde, Inc.","3236 M Street NW",,2000,2008-12-08,"Fenty 2010","Citywide","38.90486593","-77.06403703"
"Clyde's of Georgetown","3236 M Street NW",,2000,2008-12-08,"Fenty 2010","Citywide","38.90486593","-77.06403703"
"Clyde's of Georgetown","3236 M Street NW",,1500,2006-06-09,"Gray for Chair","4","38.90486593","-77.06403703"
"Clyde's of Gallery Place Inc.","3236 M Street NW",,1500,2006-06-09,"Gray for Chair","7","38.90486593","-77.06403703"
"CO Medica LLC","3286 M Street NW",,500,2001-06-13,"Committee To Re-Elect Vincent Orange, Orange 2002","Citywide","38.90497745","-77.06565903"
"Capitol Outdoor, Inc.","3286 M Street NW",,500,2001-06-13,"Committee To Re-Elect Vincent Orange, Orange 2002","6","38.90497745","-77.06565903"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",1000,2010-01-29,"Catania 2010","2","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",1000,2010-01-29,"Catania 2010","6","38.90497275","-77.06569949"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",500,2007-02-24,"Committee to Elect Yvette M. Alexander","6","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",500,2007-02-24,"Committee to Elect Yvette M. Alexander","5","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",500,2008-02-14,"Committee to Re-Elect Yvette Alexander","5","38.90497275","-77.06569949"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",500,2008-02-14,"Committee to Re-Elect Yvette Alexander","5","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",500,2011-06-16,"Evans 2012","3","38.90497275","-77.06569949"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",500,2011-06-16,"Evans 2012","1","38.90497275","-77.06569949"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",1000,2008-06-02,"Patrick Mara for Council","4","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",1000,2008-06-06,"Patrick Mara for Council","7","38.90497275","-77.06569949"
"The Altman Corporation","3288 M Street NW","SUNIL  CHHABRA",500,2011-11-11,"Tom Brown for Ward 7","8","38.90497275","-77.06569949"
"Altman Parking, Inc.","3288 M Street NW","CORPORATION SERVICE COMPANY",500,2011-11-11,"Tom Brown for Ward 7","5","38.90497275","-77.06569949"
"Shalom Baranes Associates, PC","3299 K Street NW No. 400","PRENTICE-HALL CORPORATION SYSTEM INC.",500,2002-04-12,"Re-Elect Jim Graham","Citywide","38.90323228","-77.06482021"
"Shalom Baranes Associates, PC","3299 K Street NW No. 400","PRENTICE-HALL CORPORATION SYSTEM INC.",500,2002-04-12,"Re-Elect Jim Graham","7","38.90323228","-77.06482021"
"Millbank Partners Mass Ave. Lp","3299 K Street NW No. 700","SUNIL  CHHABRA",2000,2006-06-22,"Citizens to Elect Linda Cropp Mayor","8","38.90323228","-77.06482021"
"The Bernstein Companies","3299 K Street NW No. 700","C T CORPORATION SYSTEM UNK",2000,2006-06-22,"Citizens to Elect Linda Cropp Mayor","7","38.90323228","-77.06482021"
"Landmark Parking of VA, Inc.","33 S Gay St","C T CORPORATION SYSTEM UNK",500,2011-06-24,"Evans 2012","1","39.2886502173724","-76.6087440722794"
"Landmark Parking of VA, Inc.","33 S Gay St","C T CORPORATION SYSTEM UNK",500,2011-06-24,"Evans 2012","3","39.2886502173724","-76.6087440722794"
"Landmark Parking of VA, Inc.","33 S Gay St","C T CORPORATION SYSTEM UNK",1000,2008-06-06,"Patrick Mara for Council","7","39.2886502173724","-76.6087440722794"
"Landmark Parking of VA, Inc.","33 S Gay St","C T CORPORATION SYSTEM UNK",1000,2008-06-06,"Patrick Mara for Council","Citywide","39.2886502173724","-76.6087440722794"
"Killerspin","33 W Monroe St",,2000,2006-10-27,"Fenty 2006","6","41.8806386628528","-87.628903887854"
"Electronic Knowledge Interchange Company","33 W Monroe St",,2000,2006-10-27,"Fenty 2006","Citywide","41.8806386628528","-87.628903887854"
"Cactus Cantina","3300 Wisconsin Avenue NW",,500,2010-02-20,"Reelect Jim Graham 2010","Citywide","38.93369868","-77.07271004"
"Lauriol Plaza, Inc.","3300 Wisconsin Avenue NW","JECCA CORPORATE SERVICES INC.",500,2010-02-20,"Reelect Jim Graham 2010","5","38.93369868","-77.07271004"
"WCS Construction LLC","3303 Stanton Road SE","BRADLEY J. FENNELL",500,2010-07-14,"Re-elect Cheh 2010","3","38.84627369","-76.98063154"
"Oak Tree Building Gp of Washington LLC","3303 Stanton Road SE","DARRYL J TAYLOR",500,2010-07-15,"Re-elect Cheh 2010","Citywide","38.84627369","-76.98063154"
"Square 1199 LLC","3307 M Street NW","ANTHONY M. LANIER",300,2004-10-29,"Campaign to Elect Jeff Smith (TERM)","8","38.90527712","-77.06653205"
"3303 K Street LLC","3307 M Street NW","ANTHONY M. LANIER",300,2004-10-29,"Campaign to Elect Jeff Smith (TERM)","Citywide","38.90527712","-77.06653205"
"Georgetown Restructure LLC","3307 M Street NW","ANTHONY M. LANIER",300,2004-10-29,"Campaign to Elect Jeff Smith (TERM)","8","38.90527712","-77.06653205"
"Georgetown Renaissance LLC","3307 M Street NW","ANTHONY M. LANIER",300,2004-10-29,"Campaign to Elect Jeff Smith (TERM)","5","38.90527712","-77.06653205"
"Georgetown Renasissance, LLC","3307 M Street NW No. 200",,2000,2006-02-27,"Citizens to Elect Linda Cropp Mayor","1","38.90527712","-77.06653205"
"LUF Limited Partnership","3307 M Street NW No. 200",,2000,2006-02-27,"Citizens to Elect Linda Cropp Mayor","5","38.90527712","-77.06653205"
"Stanton Eastbanc LLC","3307 M Street NW No. 400",,500,2011-09-12,"Bowser 2012","Citywide","38.90527712","-77.06653205"
"Eastbanc WDC Partners LLC","3307 M Street NW No. 400",,500,2011-09-12,"Bowser 2012","Citywide","38.90527712","-77.06653205"
"Georgetown Partners LLC","3307 M Street NW No. 400","ANTHONY M. LANIER",2000,2010-08-17,"Fenty 2010","Citywide","38.90527712","-77.06653205"
"Stanton Eastbanc, LLC Development","3307 M Street NW No. 400",,2000,2010-08-17,"Fenty 2010","3","38.90527712","-77.06653205"
"Georgetown Partners LLC","3307 M Street NW No. 400","ANTHONY M. LANIER",2000,2010-08-31,"Gray for Mayor","Citywide","38.90527712","-77.06653205"
"CTTWB Associates LP","3307 M Street NW No. 400","ANTHONY M. LANIER",2000,2010-08-31,"Gray for Mayor","4","38.90527712","-77.06653205"
"CTTWB Associates LP","3307 M Street NW No. 400","ANTHONY M. LANIER",1000,2008-09-18,"Re-Elect Kwame R. Brown","8","38.90527712","-77.06653205"
"LUF Limited Partnership","3307 M Street NW No. 400",,1000,2008-09-18,"Re-Elect Kwame R. Brown","Citywide","38.90527712","-77.06653205"
"Acord Ink","3330 Denver Street SE",,1000,2007-09-10,"Re-Elect Kwame R. Brown","Citywide","38.85849211","-76.95852448"
"D & S Auto Body","3330 Denver Street SE",,1000,2007-09-10,"Re-Elect Kwame R. Brown","1","38.85849211","-76.95852448"
"HWC, LLC","3330 Denver Street SE",,1000,2007-09-10,"Re-Elect Kwame R. Brown","4","38.85849211","-76.95852448"
"Diversified Insurance Management Inc.","3341 Benning Road NE","ANCHOR LEASING INC.",500,2011-10-06,"Evans 2012","7","38.89639153","-76.95962581"
"Auto Management, Inc.","3341 Benning Road NE","ANCHOR LEASING INC.",500,2011-10-06,"Evans 2012","Citywide","38.89639153","-76.95962581"
"Anchor Leasing Inc.","3341 Benning Road NE","AUTO MANAGEMENT, INC.",500,2011-10-06,"Evans 2012","8","38.89639153","-76.95962581"
"1625 New York Avenue, LLC.","3341 Benning Road NE","AUTO  MANAGEMENT INC.",500,2011-10-07,"Evans 2012","5","38.89639153","-76.95962581"
"Bladensburg Lincoln, LLC.","3341 Benning Road NE","ANCHOR LEASING INC.",1000,2011-12-08,"Re-Elect Orange At Large 2012","8","38.89639153","-76.95962581"
"1608 7th Street, LLC.","3341 Benning Road NE","ANCHOR LEASING INC.",1000,2011-12-08,"Re-Elect Orange At Large 2012","Citywide","38.89639153","-76.95962581"
"3101 Rhode Island Avenue, LLC.","3341 Benning Road NE","ANCHOR LEASING INC.",1000,2011-12-08,"Re-Elect Orange At Large 2012","Citywide","38.89639153","-76.95962581"
"1250 Bladensburg Road LLC.","3341 Benning Road NE","ANCHOR LEASING INC.",1000,2011-12-08,"Re-Elect Orange At Large 2012","Citywide","38.89639153","-76.95962581"
"33 New York Ave LLC","3341 Benning Road NE","GERALD H. SCHAEFFER",500,2011-12-19,"Re-Elect Yvette Alexander 2012","1","38.89639153","-76.95962581"
"Five Q, LLC.","3341 Benning Road NE","GERALD H. SCHAEFFER",500,2011-12-19,"Re-Elect Yvette Alexander 2012","8","38.89639153","-76.95962581"
"1505 Eastern Ave, LLC","3341 Benning Road NE","ANCHOR LEASING INC.",500,2011-12-19,"Re-Elect Yvette Alexander 2012","Citywide","38.89639153","-76.95962581"
"1625 New York Avenue, LLC.","3341 Benning Road NE","AUTO  MANAGEMENT INC.",500,2011-12-19,"Re-Elect Yvette Alexander 2012","4","38.89639153","-76.95962581"
"Palmetto Hospitality of Washington DC","340 E Main St No. 300","CORPORATION SERVICE COMPANY",500,2009-07-22,"Re-Elect Tommy Wells","6","34.9514713773202","-81.9237597972842"
"OTO Development, LLC","340 E Main St No. 300",,500,2009-07-22,"Re-Elect Tommy Wells","2","34.9514713773202","-81.9237597972842"
"Kings Creek, LLC","3411 Oakwood Terrace NW","STEVEN S. SNIDER",500,2002-06-10,"Re-Elect Jim Graham","Citywide","38.93443222","-77.03842022"
"Kings Creek, LLC","3411 Oakwood Terrace NW","STEVEN S. SNIDER",500,2002-06-10,"Re-Elect Jim Graham","Citywide","38.93443222","-77.03842022"
"Kings Creek, LLC","3411 Oakwood Terrace NW","STEVEN S. SNIDER",500,2006-06-08,"Re-Elect Jim Graham (2006)","Citywide","38.93443222","-77.03842022"
"Dommo Construction","3411 Oakwood Terrace NW","DOMINIQUE KOSTELAC",500,2006-06-08,"Re-Elect Jim Graham (2006)","1","38.93443222","-77.03842022"
"Kostelac Construction","3411 Oakwood Terrace NW",,500,2006-06-08,"Re-Elect Jim Graham (2006)","1","38.93443222","-77.03842022"
"Dart Construction","3500 E Biddle St",,500,2007-04-22,"Committee to Elect Yvette M. Alexander","3","39.3055143353853","-76.5650502180561"
"301 East Lombard St. LLC","3500 E Biddle St",,500,2007-04-22,"Committee to Elect Yvette M. Alexander","4","39.3055143353853","-76.5650502180561"
"Lambda Development LLC","3500 E Biddle St",,500,2007-04-22,"Committee to Elect Yvette M. Alexander","Citywide","39.3055143353853","-76.5650502180561"
"6th Street LLC","3500 E Biddle St",,500,2007-04-22,"Committee to Elect Yvette M. Alexander","3","39.3055143353853","-76.5650502180561"
"RHL Arizona Crossing LLC","3500 E Biddle St",,500,2007-04-22,"Committee to Elect Yvette M. Alexander","Citywide","39.3055143353853","-76.5650502180561"
"Doracon Contracting, Inc.","3500 E Biddle St","PATRICIA JACOBS",1500,2006-08-10,"Gray for Chair","3","39.3055143353853","-76.5650502180561"
"Arizona Crossing","3500 E Biddle St",,1500,2006-08-10,"Gray for Chair","Citywide","39.3055143353853","-76.5650502180561"
"301 East Lombard St. LLC","3500 E Biddle St",,1500,2006-08-10,"Gray for Chair","Citywide","39.3055143353853","-76.5650502180561"
"Vador Ventures, Inc.","3619 14th Street NW","VICTOR  MORAN",500,2010-05-01,"Reelect Jim Graham 2010","Citywide","38.93684548","-77.03239678"
"Beltway Disposal, LLC.","3619 14th Street NW","VICTOR  MORAN",500,2010-05-01,"Reelect Jim Graham 2010","Citywide","38.93684548","-77.03239678"
"New Columbia Solutions, LLC.","3650 Camden Street SE",,1000,2011-03-10,"Orange At-Large","Citywide","38.85986797","-76.954205"
"NCS Systems","3650 Camden Street SE","RICHARD EVANS",1000,2011-03-10,"Orange At-Large","Citywide","38.85986797","-76.954205"
"Curtis Investment Group, Inc. c/o George Curt","3701 St Barnabas Rd","LAWRENCE A. MILLER",500,2008-04-15,"Barry for Ward 8","5","38.8393490490757","-76.9415645580722"
"Curtis Property Mgt Corp co George Curtis","3701 St Barnabas Rd","LAWRENCE A. MILLER",500,2008-04-15,"Barry for Ward 8","6","38.8393490490757","-76.9415645580722"
"Curtis Investment Group, Inc.","3701 St Barnabas Rd","LAWRENCE A. MILLER",500,2008-06-02,"Muriel Bowser for Ward 4 2008","Citywide","38.8393490490757","-76.9415645580722"
"CurtisProperty Management Corp","3701 St Barnabas Rd",,500,2008-06-02,"Muriel Bowser for Ward 4 2008","7","38.8393490490757","-76.9415645580722"
"DAG Oil Company","3820- B Commercial Dr","C T CORPORATION SYSTEM UNK",500,2008-11-10,"Evans 2008","Citywide","38.8027671820136","-77.2095769281411"
"DAG Petroleum Suppliers","3820- B Commercial Dr","C T CORPORATION SYSTEM UNK",500,2008-11-10,"Evans 2008","Citywide","38.8027671820136","-77.2095769281411"
"DAG Energy","3820- B Commercial Dr","C T CORPORATION SYSTEM UNK",500,2008-11-10,"Evans 2008","5","38.8027671820136","-77.2095769281411"
"DAG Power","3820- B Commercial Dr","C T CORPORATION SYSTEM UNK",500,2008-11-10,"Evans 2008","8","38.8027671820136","-77.2095769281411"
"DAG Enterprises","3820- B Commercial Dr","EYOB MAMO",500,2008-11-10,"Evans 2008","5","38.8027671820136","-77.2095769281411"
"MCD'S DC, LLC","3839 Minnesota Avenue NE",,500,2002-05-31,"Re-Elect Jim Graham","Citywide","38.89289967","-76.95039451"
"MCD'S DC, LLC","3839 Minnesota Avenue NE",,500,2002-05-31,"Re-Elect Jim Graham","Citywide","38.89289967","-76.95039451"
"Concrete Mixes Inc.","3921 South Capitol Street SW No. 3","NATIONAL REGISTERED AGENTS INC.",500,2008-03-28,"Barry for Ward 8","8","38.83204055","-77.00859530"
"Trusted Solutions Group","3921 South Capitol Street SW No. 3","NATIONAL REGISTERED AGENTS INC.",500,2008-03-28,"Barry for Ward 8","5","38.83204055","-77.00859530"
"Sorteo Technology","3978 Sorrento Valley Blvd",,500,2011-01-12,"Thomas 2010","Citywide","32.9035124459417","-117.219688424747"
"Sorteo Games","3978 Sorrento Valley Blvd",,500,2011-01-12,"Thomas 2010","1","32.9035124459417","-117.219688424747"
"Circle Parking","4018 Brandywine Street NW","THEODORE PEDAS",500,2006-05-09,"Bill Rice for Ward 3","Citywide","38.94953747","-77.07981704"
"The Theodore Pedas Revocable Trust","4018 Brandywine Street NW",,500,2006-05-09,"Bill Rice for Ward 3","1","38.94953747","-77.07981704"
"Pedas Family Limited","4018 Brandywine Street NW","THEODORE PEDAS",2000,2006-10-17,"Fenty 2006","6","38.94953747","-77.07981704"
"Square 696 Joint Venture","4018 Brandywine Street NW","WILLIAM T. PEDAS",2000,2006-10-17,"Fenty 2006","8","38.94953747","-77.07981704"
"Showcase Enterprises","4018 Brandywine Street NW",,2000,2006-10-17,"Fenty 2006","4","38.94953747","-77.07981704"
"Lydia's House","4101 Martin Luther King Jr Avenue SW",,500,2004-06-07,"Committee to Elect Jacque Patterson, Ward 8 Council","Citywide","38.82979870","-77.01263492"
"Far Southwest-Southeast CDC","4101 Martin Luther King Jr Avenue SW",,500,2004-06-07,"Committee to Elect Jacque Patterson, Ward 8 Council","Citywide","38.82979870","-77.01263492"
"May, Byrd & Associates, P.A.","415 Main St",,500,2006-09-06,"Bobb for School Board President","1","34.7449889754522","-92.2708175589541"
"General Power Develpoment, Inc.","415 Main St","BURK LAW FIRM P.C.",500,2006-09-06,"Bobb for School Board President","Citywide","34.7449889754522","-92.2708175589541"
"M.S.R.M., Inc.","415 Main St",,500,2006-09-06,"Bobb for School Board President","3","34.7449889754522","-92.2708175589541"
"Mayhood Company","420 Beverly Rd No. 200","C T CORPORATION SYSTEM UNK",500,2002-04-12,"Re-Elect Jim Graham","Citywide","38.9380218001921","-77.1649157433144"
"Mayhood Company","420 Beverly Rd No. 200","C T CORPORATION SYSTEM UNK",500,2002-04-12,"Re-Elect Jim Graham","7","38.9380218001921","-77.1649157433144"
"TFS Consulting LLC","426 C Street NE",,500,2009-07-23,"Re-Elect Tommy Wells","5","38.89425623","-76.99977257"
"AWF Consulting Inc.","426 C Street NE","ASHLEY  WATSON FLANAGAN",500,2009-07-23,"Re-Elect Tommy Wells","5","38.89425623","-76.99977257"
"Catherine Samary LLC","4281 Buckskin Wood Dr",,2000,2010-01-06,"Fenty 2010","Citywide","39.2711064296722","-76.8333317054496"
